,prefix,continuation,surprisals
0,I know that your tears signaled an indication that signaled depression, last,35.11806106567383
1,I know that your tears signaled an indication that signaled depression last, night,29.44346809387207
2,I remember that we all pitched in to buy the gift that we bought Mary, at,35.54933166503906
3,I remember that we all pitched in to buy the gift that we bought Mary at, the,22.60630989074707
4,I remember that we all pitched in to buy the gift that we bought Mary at the, last,26.38954734802246
5,I remember that we all pitched in to buy the gift that we bought Mary at the last, minute,33.86975860595703
6,The newspaper reported that the critics reviewed the novel that provoked the famous author, in,30.395511627197266
7,The newspaper reported that the critics reviewed the novel that provoked the famous author in, the,18.286441802978516
8,The newspaper reported that the critics reviewed the novel that provoked the famous author in the, press,29.712543487548828
9,I know that the family bought the painting that depicted Monet, sometime,38.808021545410156
10,I know that the family bought the painting that depicted Monet sometime, last,34.56238555908203
11,I know that the family bought the painting that depicted Monet sometime last, year,29.68737030029297
12,You remember that the spy sold the instructions that showed how to operate the submarine, much,36.73827362060547
13,You remember that the spy sold the instructions that showed how to operate the submarine much, to,24.72168731689453
14,You remember that the spy sold the instructions that showed how to operate the submarine much to, our,25.796754837036133
15,You remember that the spy sold the instructions that showed how to operate the submarine much to our, regret,33.86520767211914
16,She told me that he has had an allergy that is caused by peanuts, ever,38.450584411621094
17,She told me that he has had an allergy that is caused by peanuts ever, since,33.863643646240234
18,She told me that he has had an allergy that is caused by peanuts ever since, he,24.278350830078125
19,She told me that he has had an allergy that is caused by peanuts ever since he, was,26.13218116760254
20,She told me that he has had an allergy that is caused by peanuts ever since he was, young,26.917896270751953
21,She knows that the doorman accepted the delivery that shocked Sarah, last,38.17634963989258
22,She knows that the doorman accepted the delivery that shocked Sarah last, Tuesday,31.980274200439453
23,We all remember that the mailman lost the package that Sarah described to Robert, in,35.71859359741211
24,We all remember that the mailman lost the package that Sarah described to Robert in, the,20.462520599365234
25,We all remember that the mailman lost the package that Sarah described to Robert in the, holiday,29.270267486572266
26,We all remember that the mailman lost the package that Sarah described to Robert in the holiday, rush,42.42745590209961
27,My friend reported that we listened to the symphony that was dedicated to Mozart, yesterday,38.62821960449219
28,My friend reported that we listened to the symphony that was dedicated to Mozart yesterday, night,36.30143737792969
29,I have an idea about that I saw the play that delighted the amateur comedian, last,36.4344596862793
30,I have an idea about that I saw the play that delighted the amateur comedian last, night,29.951297760009766
31,She can guess that my friend wrote a forward that introduced the new manuscript, over,36.04275131225586
32,She can guess that my friend wrote a forward that introduced the new manuscript over, the,25.037912368774414
33,She can guess that my friend wrote a forward that introduced the new manuscript over the, weekend,30.007089614868164
34,The newspaper reported that she made the salad dressing from a mix that included oil and vinegar, every,36.519935607910156
35,The newspaper reported that she made the salad dressing from a mix that included oil and vinegar every, time,33.51327896118164
36,The newspaper reported that she made the salad dressing from a mix that included oil and vinegar every time, she,31.653276443481445
