,surprisals,prefix,continuation
0,9.592484,I know that your tears signaled an indication<extra_id_0> ,last
1,0.90171474,I know that your tears signaled an indication last<extra_id_0> ,night
2,5.684391,I remember that we all pitched in to buy the gift<extra_id_0> ,at
3,1.2081232,I remember that we all pitched in to buy the gift at<extra_id_0> ,the
4,4.9411902,I remember that we all pitched in to buy the gift at the<extra_id_0> ,last
5,0.519352,I remember that we all pitched in to buy the gift at the last<extra_id_0> ,minute
6,3.081165,The newspaper reported that the critics reviewed the novel<extra_id_0> ,in
7,1.6819719,The newspaper reported that the critics reviewed the novel in<extra_id_0> ,the
8,4.064914,The newspaper reported that the critics reviewed the novel in the<extra_id_0> ,press
9,8.635616,I know that the family bought the painting<extra_id_0> ,sometime
10,4.541361,I know that the family bought the painting sometime<extra_id_0> ,last
11,0.36336225,I know that the family bought the painting sometime last<extra_id_0> ,year
12,9.807953,You remember that the spy sold the instructions<extra_id_0> ,much
13,3.6413946,You remember that the spy sold the instructions much<extra_id_0> ,to
14,5.2121816,You remember that the spy sold the instructions much to<extra_id_0> ,our
15,5.026468,You remember that the spy sold the instructions much to our<extra_id_0> ,regret
16,6.801007,She told me that he has had an allergy<extra_id_0> ,ever
17,0.0165857,She told me that he has had an allergy ever<extra_id_0> ,since
18,2.4370356,She told me that he has had an allergy ever since<extra_id_0> ,he
19,0.33221275,She told me that he has had an allergy ever since he<extra_id_0> ,was
20,4.415596,She told me that he has had an allergy ever since he was<extra_id_0> ,young
21,6.822031,She knows that the doorman accepted the delivery<extra_id_0> ,last
22,4.117987,She knows that the doorman accepted the delivery last<extra_id_0> ,Tuesday
23,4.139819,We all remember that the mailman lost the package<extra_id_0> ,in
24,0.97575545,We all remember that the mailman lost the package in<extra_id_0> ,the
25,9.08767,We all remember that the mailman lost the package in the<extra_id_0> ,holiday
26,3.5292597,We all remember that the mailman lost the package in the holiday<extra_id_0> ,rush
27,5.2091784,My friend reported that we listened to the symphony<extra_id_0> ,yesterday
28,3.2682462,My friend reported that we listened to the symphony yesterday<extra_id_0> ,night
29,5.0065227,I have an idea about that I saw the play<extra_id_0> ,last
30,0.82972366,I have an idea about that I saw the play last<extra_id_0> ,night
31,8.355698,She can guess that my friend wrote a forward<extra_id_0> ,over
32,2.0841904,She can guess that my friend wrote a forward over<extra_id_0> ,the
33,2.3498163,She can guess that my friend wrote a forward over the<extra_id_0> ,weekend
34,12.211637,The newspaper reported that she made the salad dressing from a mix<extra_id_0> ,every
35,3.061054,The newspaper reported that she made the salad dressing from a mix every<extra_id_0> ,time
36,0.68431264,The newspaper reported that she made the salad dressing from a mix every time<extra_id_0> ,she
37,3.0722857,The newspaper reported that she made the salad dressing from a mix every time she<extra_id_0> ,cooked
38,10.075076,We recall that the blogger drafted a critique<extra_id_0> ,late
39,1.6928846,We recall that the blogger drafted a critique late<extra_id_0> ,in
40,0.50416434,We recall that the blogger drafted a critique late in<extra_id_0> ,the
41,3.706733,We recall that the blogger drafted a critique late in the<extra_id_0> ,afternoon
42,5.844654,I remember that the politician wrote a diatribe<extra_id_0> ,yesterday
43,5.3891964,I remember that the politician wrote a diatribe yesterday<extra_id_0> ,night
44,6.699202,Our friend guessed that we saw a picture<extra_id_0> ,yesterday
45,6.0526915,Our friend guessed that we saw a picture yesterday<extra_id_0> ,afternoon
46,8.291558,The mayor told me that the newspapers printed a photograph<extra_id_0> ,two
47,1.6816986,The mayor told me that the newspapers printed a photograph two<extra_id_0> ,days
48,1.6481757,The mayor told me that the newspapers printed a photograph two days<extra_id_0> ,after
49,1.1371924,The mayor told me that the newspapers printed a photograph two days after<extra_id_0> ,the
50,7.135105,The mayor told me that the newspapers printed a photograph two days after the<extra_id_0> ,battle
51,7.36422,My friend remembers that the monk penned a description<extra_id_0> ,over
52,1.9201621,My friend remembers that the monk penned a description over<extra_id_0> ,a
53,2.2796092,My friend remembers that the monk penned a description over a<extra_id_0> ,year
54,0.38887188,My friend remembers that the monk penned a description over a year<extra_id_0> ,ago
55,8.814044,The newspaper said that I picked out the present<extra_id_0> ,while
56,2.0749743,The newspaper said that I picked out the present while<extra_id_0> ,I
57,0.5801984,The newspaper said that I picked out the present while I<extra_id_0> ,was
58,3.61848,The newspaper said that I picked out the present while I was<extra_id_0> ,on
59,1.2521795,The newspaper said that I picked out the present while I was on<extra_id_0> ,vacation
60,6.771674,Our neighbor said that she won the argument<extra_id_0> ,yesterday
61,5.436964,My friend told me that he wrote a proposal<extra_id_0> ,last
62,6.106256,My friend told me that he wrote a proposal last<extra_id_0> ,evening
63,3.258877,She can not believe that we attended a conference<extra_id_0> ,last
64,5.8269296,She can not believe that we attended a conference last<extra_id_0> ,spring
65,8.655888,I know that your tears signaled<extra_id_0> ,last
66,1.0563173,I know that your tears signaled last<extra_id_0> ,night
67,7.8001785,I remember that we all pitched in to buy<extra_id_0> ,at
68,1.549831,I remember that we all pitched in to buy at<extra_id_0> ,the
69,5.017547,I remember that we all pitched in to buy at the<extra_id_0> ,last
70,2.0129266,I remember that we all pitched in to buy at the last<extra_id_0> ,minute
71,6.794041,The newspaper reported that the critics reviewed<extra_id_0> ,in
72,1.6857433,The newspaper reported that the critics reviewed in<extra_id_0> ,the
73,4.648324,The newspaper reported that the critics reviewed in the<extra_id_0> ,press
74,11.181942,I know that the family bought<extra_id_0> ,sometime
75,4.115855,I know that the family bought sometime<extra_id_0> ,last
76,0.40050244,I know that the family bought sometime last<extra_id_0> ,year
77,8.67551,You remember that the spy sold<extra_id_0> ,much
78,5.2939067,You remember that the spy sold much<extra_id_0> ,to
79,5.3901563,You remember that the spy sold much to<extra_id_0> ,our
80,8.3038,You remember that the spy sold much to our<extra_id_0> ,regret
81,9.978258,She told me that he has had<extra_id_0> ,ever
82,0.96808565,She told me that he has had ever<extra_id_0> ,since
83,3.158941,She told me that he has had ever since<extra_id_0> ,he
84,0.38457406,She told me that he has had ever since he<extra_id_0> ,was
85,4.456364,She told me that he has had ever since he was<extra_id_0> ,young
86,9.691991,She knows that the doorman accepted<extra_id_0> ,last
87,5.123208,She knows that the doorman accepted last<extra_id_0> ,Tuesday
88,6.9062395,We all remember that the mailman lost<extra_id_0> ,in
89,1.7064283,We all remember that the mailman lost in<extra_id_0> ,the
90,9.537011,We all remember that the mailman lost in the<extra_id_0> ,holiday
91,3.9346862,We all remember that the mailman lost in the holiday<extra_id_0> ,rush
92,8.39984,My friend reported that we listened to<extra_id_0> ,yesterday
93,3.4279532,My friend reported that we listened to yesterday<extra_id_0> ,night
94,4.761107,I have an idea about that I saw<extra_id_0> ,last
95,1.8504407,I have an idea about that I saw last<extra_id_0> ,night
96,7.650118,She can guess that my friend wrote<extra_id_0> ,over
97,2.4671533,She can guess that my friend wrote over<extra_id_0> ,the
98,2.6461942,She can guess that my friend wrote over the<extra_id_0> ,weekend
99,10.338553,The newspaper reported that she made the salad dressing from<extra_id_0> ,every
100,6.759219,The newspaper reported that she made the salad dressing from every<extra_id_0> ,time
101,1.7774785,The newspaper reported that she made the salad dressing from every time<extra_id_0> ,she
102,3.5641382,The newspaper reported that she made the salad dressing from every time she<extra_id_0> ,cooked
103,11.099339,We recall that the blogger drafted<extra_id_0> ,late
104,4.928958,We recall that the blogger drafted late<extra_id_0> ,in
105,2.2062833,We recall that the blogger drafted late in<extra_id_0> ,the
106,4.430647,We recall that the blogger drafted late in the<extra_id_0> ,afternoon
107,7.011488,I remember that the politician wrote<extra_id_0> ,yesterday
108,6.231154,I remember that the politician wrote yesterday<extra_id_0> ,night
109,8.680132,Our friend guessed that we saw<extra_id_0> ,yesterday
110,6.2217526,Our friend guessed that we saw yesterday<extra_id_0> ,afternoon
111,5.5448623,The mayor told me that the newspapers printed<extra_id_0> ,two
112,3.2864945,The mayor told me that the newspapers printed two<extra_id_0> ,days
113,2.7978287,The mayor told me that the newspapers printed two days<extra_id_0> ,after
114,1.8768163,The mayor told me that the newspapers printed two days after<extra_id_0> ,the
115,6.958212,The mayor told me that the newspapers printed two days after the<extra_id_0> ,battle
116,7.5664663,My friend remembers that the monk penned<extra_id_0> ,over
117,2.6278665,My friend remembers that the monk penned over<extra_id_0> ,a
118,3.2549253,My friend remembers that the monk penned over a<extra_id_0> ,year
119,0.60634154,My friend remembers that the monk penned over a year<extra_id_0> ,ago
120,9.486912,The newspaper said that I picked out<extra_id_0> ,while
121,2.8575437,The newspaper said that I picked out while<extra_id_0> ,I
122,1.1890504,The newspaper said that I picked out while I<extra_id_0> ,was
123,3.7772424,The newspaper said that I picked out while I was<extra_id_0> ,on
124,0.5594865,The newspaper said that I picked out while I was on<extra_id_0> ,vacation
125,10.022877,Our neighbor said that she won<extra_id_0> ,yesterday
126,8.026739,My friend told me that he wrote<extra_id_0> ,last
127,6.2795787,My friend told me that he wrote last<extra_id_0> ,evening
128,6.7689285,She can not believe that we attended<extra_id_0> ,last
129,6.2020574,She can not believe that we attended last<extra_id_0> ,spring
130,8.743235,I know what your tears signaled an indication<extra_id_0> ,last
131,1.0423017,I know what your tears signaled an indication last<extra_id_0> ,night
132,5.86748,I remember what we all pitched in to buy the gift<extra_id_0> ,at
133,1.4171078,I remember what we all pitched in to buy the gift at<extra_id_0> ,the
134,5.084733,I remember what we all pitched in to buy the gift at the<extra_id_0> ,last
135,1.9469001,I remember what we all pitched in to buy the gift at the last<extra_id_0> ,minute
136,4.5202,The newspaper reported what the critics reviewed the novel<extra_id_0> ,in
137,1.425012,The newspaper reported what the critics reviewed the novel in<extra_id_0> ,the
138,3.9175048,The newspaper reported what the critics reviewed the novel in the<extra_id_0> ,press
139,12.726259,I know what the family bought the painting<extra_id_0> ,sometime
140,4.041509,I know what the family bought the painting sometime<extra_id_0> ,last
141,0.6151634,I know what the family bought the painting sometime last<extra_id_0> ,year
142,10.224358,You remember what the spy sold the instructions<extra_id_0> ,much
143,5.4100237,You remember what the spy sold the instructions much<extra_id_0> ,to
144,5.524051,You remember what the spy sold the instructions much to<extra_id_0> ,our
145,6.0950627,You remember what the spy sold the instructions much to our<extra_id_0> ,regret
146,7.728928,She told me what he has had an allergy<extra_id_0> ,ever
147,0.49103442,She told me what he has had an allergy ever<extra_id_0> ,since
148,2.4358106,She told me what he has had an allergy ever since<extra_id_0> ,he
149,0.42741308,She told me what he has had an allergy ever since he<extra_id_0> ,was
150,4.40917,She told me what he has had an allergy ever since he was<extra_id_0> ,young
151,7.2238493,She knows what the doorman accepted the delivery<extra_id_0> ,last
152,4.7784467,She knows what the doorman accepted the delivery last<extra_id_0> ,Tuesday
153,3.6156526,We all remember what the mailman lost the package<extra_id_0> ,in
154,2.2381208,We all remember what the mailman lost the package in<extra_id_0> ,the
155,9.076122,We all remember what the mailman lost the package in the<extra_id_0> ,holiday
156,4.4533954,We all remember what the mailman lost the package in the holiday<extra_id_0> ,rush
157,6.298591,My friend reported what we listened to the symphony<extra_id_0> ,yesterday
158,3.819336,My friend reported what we listened to the symphony yesterday<extra_id_0> ,night
159,5.9924417,I have an idea about what I saw the play<extra_id_0> ,last
160,0.8418126,I have an idea about what I saw the play last<extra_id_0> ,night
161,7.672344,She can guess what my friend wrote a forward<extra_id_0> ,over
162,2.4844408,She can guess what my friend wrote a forward over<extra_id_0> ,the
163,3.299344,She can guess what my friend wrote a forward over the<extra_id_0> ,weekend
164,11.977397,The newspaper reported what she made the salad dressing from a mix<extra_id_0> ,every
165,2.316441,The newspaper reported what she made the salad dressing from a mix every<extra_id_0> ,time
166,1.0061517,The newspaper reported what she made the salad dressing from a mix every time<extra_id_0> ,she
167,3.6975608,The newspaper reported what she made the salad dressing from a mix every time she<extra_id_0> ,cooked
168,10.662733,We recall what the blogger drafted a critique<extra_id_0> ,late
169,2.162245,We recall what the blogger drafted a critique late<extra_id_0> ,in
170,0.8278299,We recall what the blogger drafted a critique late in<extra_id_0> ,the
171,3.659245,We recall what the blogger drafted a critique late in the<extra_id_0> ,afternoon
172,7.33179,I remember what the politician wrote a diatribe<extra_id_0> ,yesterday
173,5.515242,I remember what the politician wrote a diatribe yesterday<extra_id_0> ,night
174,6.955685,Our friend guessed what we saw a picture<extra_id_0> ,yesterday
175,6.6978154,Our friend guessed what we saw a picture yesterday<extra_id_0> ,afternoon
176,8.1663265,The mayor told me what the newspapers printed a photograph<extra_id_0> ,two
177,1.9382026,The mayor told me what the newspapers printed a photograph two<extra_id_0> ,days
178,2.481506,The mayor told me what the newspapers printed a photograph two days<extra_id_0> ,after
179,1.681395,The mayor told me what the newspapers printed a photograph two days after<extra_id_0> ,the
180,6.8797626,The mayor told me what the newspapers printed a photograph two days after the<extra_id_0> ,battle
181,6.794209,My friend remembers what the monk penned a description<extra_id_0> ,over
182,2.1209855,My friend remembers what the monk penned a description over<extra_id_0> ,a
183,2.4651124,My friend remembers what the monk penned a description over a<extra_id_0> ,year
184,0.16276345,My friend remembers what the monk penned a description over a year<extra_id_0> ,ago
185,8.600513,The newspaper said what I picked out the present<extra_id_0> ,while
186,2.0941575,The newspaper said what I picked out the present while<extra_id_0> ,I
187,1.8776736,The newspaper said what I picked out the present while I<extra_id_0> ,was
188,3.49554,The newspaper said what I picked out the present while I was<extra_id_0> ,on
189,1.9514536,The newspaper said what I picked out the present while I was on<extra_id_0> ,vacation
190,8.00836,Our neighbor said what she won the argument<extra_id_0> ,yesterday
191,6.629544,My friend told me what he wrote a proposal<extra_id_0> ,last
192,5.759683,My friend told me what he wrote a proposal last<extra_id_0> ,evening
193,4.007341,She can not believe what we attended a conference<extra_id_0> ,last
194,6.202059,She can not believe what we attended a conference last<extra_id_0> ,spring
195,7.248701,I know what your tears signaled<extra_id_0> ,last
196,0.59169614,I know what your tears signaled last<extra_id_0> ,night
197,6.8944707,I remember what we all pitched in to buy<extra_id_0> ,at
