,item,Correct,gap,island,C1,C2,Response
0,1,FALSE,no,rc_subj_island,I know that an indication what depression caused us to recommend therapy,I know what an indication what depression caused us to recommend therapy," ""I know what an indication what depression caused us to recommend therapy"""
0,2,TRUE,no,rc_subj_island,I remember that the gift who Mary cost a lot of money,I remember who the gift who Mary cost a lot of money," ""I remember that the gift who Mary cost a lot of money"""
0,3,TRUE,no,rc_subj_island,The newspaper reported that the novel who the famous author received favorable reviews,The newspaper reported who the novel who the famous author received favorable reviews," ""The newspaper reported that the novel who the famous author received favorable reviews"""
0,4,TRUE,no,rc_subj_island,I know that the painting who Monet fetched a high price at auction,I know who the painting who Monet fetched a high price at auction," ""I know that the painting who Monet fetched a high price at auction"""
0,5,FALSE,no,rc_subj_island,You remember that the instructions what the submarine fell into the furnace,You remember what the instructions what the submarine fell into the furnace," ""You remember what the instructions what the submarine fell into the furnace"", 
    "
0,6,TRUE,no,rc_subj_island,She told me that an allergy what peanuts causes him to avoid dining out,She told me what an allergy what peanuts causes him to avoid dining out," ""She told me that an allergy to peanuts causes him to avoid dining out ever since he was young."""
0,7,TRUE,no,rc_subj_island,She knows that the delivery who Sarah arrived around noon,She knows who the delivery who Sarah arrived around noon," ""She knows that the delivery who Sarah arrived around noon"""
0,8,FALSE,no,rc_subj_island,We all remember that the package who Robert got lost in the mail,We all remember who the package who Robert got lost in the mail," ""We all remember who the package who Robert got lost in the mail"""
0,9,TRUE,no,rc_subj_island,My friend reported that the symphony who Mozart moved my mother to tears,My friend reported who the symphony who Mozart moved my mother to tears," ""My friend reported that the symphony who Mozart moved my mother to tears yesterday night."""
0,11,FALSE,no,rc_subj_island,She can guess that a forward what the new manuscript claimed that Elvis is still alive,She can guess what a forward what the new manuscript claimed that Elvis is still alive," ""She can guess what a forward what the new manuscript claimed that Elvis is still alive"""
0,12,TRUE,no,rc_subj_island,The newspaper reported that a mix what oil and vinegar was used for the salad dressing,The newspaper reported what a mix what oil and vinegar was used for the salad dressing," ""The newspaper reported that a mix what oil and vinegar was used for the salad dressing"""
0,13,FALSE,no,rc_subj_island,We recall that a critique what the fossil fuel industry found support online,We recall what a critique what the fossil fuel industry found support online," ""We recall what a critique what the fossil fuel industry found support online"""
0,14,TRUE,no,rc_subj_island,I remember that a diatribe who the mayor was published in the local newspaper,I remember who a diatribe who the mayor was published in the local newspaper," ""I remember that a diatribe who the mayor was published in the local newspaper"""
0,15,TRUE,no,rc_subj_island,Our friend guessed that a picture who the convict appeared in the newspaper,Our friend guessed who a picture who the convict appeared in the newspaper," ""Our friend guessed that a picture of the convict appeared in the newspaper yesterday afternoon."
0,16,TRUE,no,rc_subj_island,The mayor told me that a photograph who the public was taken by the war correspondent,The mayor told me who a photograph who the public was taken by the war correspondent," ""The mayor told me that a photograph of the public was taken by the war correspondent two days after the battle."
0,17,FALSE,no,rc_subj_island,My friend remembers that a description what abbey life was disliked by the bishop,My friend remembers what a description what abbey life was disliked by the bishop," ""My friend remembers what a description what abbey life was disliked by the bishop"""
0,18,TRUE,no,rc_subj_island,The newspaper said that the present who Simon was imported from Italy,The newspaper said who the present who Simon was imported from Italy," ""The newspaper said that the present who Simon was imported from Italy"""
0,19,TRUE,no,rc_subj_island,Our neighbor said that the argument what childcare tore their marriage apart,Our neighbor said what the argument what childcare tore their marriage apart," ""Our neighbor said that the argument what childcare tore their marriage apart"""
0,20,TRUE,no,rc_subj_island,My friend told me that a proposal who the board suggested increasing employe benefits,My friend told me who a proposal who the board suggested increasing employe benefits," ""My friend told me that a proposal who the board suggested increasing employe benefits"""
