,surprisals,prefix,continuation
0,8.250841,I know that an indication what depression caused us to recommend therapy<extra_id_0> ,last
1,3.9176784,I know that an indication what depression caused us to recommend therapy last<extra_id_0> ,night
2,5.8713074,I remember that the gift who Mary cost a lot of money<extra_id_0> ,at
3,1.0837228,I remember that the gift who Mary cost a lot of money at<extra_id_0> ,the
4,5.674179,I remember that the gift who Mary cost a lot of money at the<extra_id_0> ,last
5,1.6691524,I remember that the gift who Mary cost a lot of money at the last<extra_id_0> ,minute
6,2.875937,The newspaper reported that the novel who the famous author received favorable reviews<extra_id_0> ,in
7,0.76822686,The newspaper reported that the novel who the famous author received favorable reviews in<extra_id_0> ,the
8,3.188815,The newspaper reported that the novel who the famous author received favorable reviews in the<extra_id_0> ,press
9,9.777006,I know that the painting who Monet fetched a high price at auction<extra_id_0> ,sometime
10,3.8975368,I know that the painting who Monet fetched a high price at auction sometime<extra_id_0> ,last
11,0.4334592,I know that the painting who Monet fetched a high price at auction sometime last<extra_id_0> ,year
12,10.739749,You remember that the instructions what the submarine fell into the furnace<extra_id_0> ,much
13,3.5559459,You remember that the instructions what the submarine fell into the furnace much<extra_id_0> ,to
14,4.0287795,You remember that the instructions what the submarine fell into the furnace much to<extra_id_0> ,our
15,6.828653,You remember that the instructions what the submarine fell into the furnace much to our<extra_id_0> ,regret
16,8.530461,She told me that an allergy what peanuts causes him to avoid dining out<extra_id_0> ,ever
17,1.7772003,She told me that an allergy what peanuts causes him to avoid dining out ever<extra_id_0> ,since
18,2.1014686,She told me that an allergy what peanuts causes him to avoid dining out ever since<extra_id_0> ,he
19,1.5224897,She told me that an allergy what peanuts causes him to avoid dining out ever since he<extra_id_0> ,was
20,4.9646163,She told me that an allergy what peanuts causes him to avoid dining out ever since he was<extra_id_0> ,young
21,5.1138725,She knows that the delivery who Sarah arrived around noon<extra_id_0> ,last
22,3.4146821,She knows that the delivery who Sarah arrived around noon last<extra_id_0> ,Tuesday
23,4.4556665,We all remember that the package who Robert got lost in the mail<extra_id_0> ,in
24,1.7674576,We all remember that the package who Robert got lost in the mail in<extra_id_0> ,the
25,8.21228,We all remember that the package who Robert got lost in the mail in the<extra_id_0> ,holiday
26,5.8081856,We all remember that the package who Robert got lost in the mail in the holiday<extra_id_0> ,rush
27,8.1776905,My friend reported that the symphony who Mozart moved my mother to tears<extra_id_0> ,yesterday
28,3.8961275,My friend reported that the symphony who Mozart moved my mother to tears yesterday<extra_id_0> ,night
29,6.079229,I have an idea about that the play who the amateur comedian upset me<extra_id_0> ,last
30,1.7144072,I have an idea about that the play who the amateur comedian upset me last<extra_id_0> ,night
31,8.547445,She can guess that a forward what the new manuscript claimed that Elvis is still alive<extra_id_0> ,over
32,1.5154959,She can guess that a forward what the new manuscript claimed that Elvis is still alive over<extra_id_0> ,the
33,4.1600504,She can guess that a forward what the new manuscript claimed that Elvis is still alive over the<extra_id_0> ,weekend
34,10.149027,The newspaper reported that a mix what oil and vinegar was used for the salad dressing<extra_id_0> ,every
