,surprisals,prefix,continuation
0,7.0038576,The teacher realized what the student accepted before Christmas studied for the test<extra_id_0> ,with
1,5.8902698,The teacher realized what the student accepted before Christmas studied for the test with<extra_id_0> ,great
2,2.5629988,The teacher realized what the student accepted before Christmas studied for the test with great<extra_id_0> ,enthusiasm
3,2.7168,The policeman discovered what the convict captured after investigation smuggled a gun<extra_id_0> ,into
4,0.7339612,The policeman discovered what the convict captured after investigation smuggled a gun into<extra_id_0> ,the
5,2.7578125,The policeman discovered what the convict captured after investigation smuggled a gun into the<extra_id_0> ,prison
6,5.423659,The shop owner realized what the waiter hired before curfew placed a candle<extra_id_0> ,near
7,0.6206259,The shop owner realized what the waiter hired before curfew placed a candle near<extra_id_0> ,the
8,3.0180104,The shop owner realized what the waiter hired before curfew placed a candle near the<extra_id_0> ,table
9,6.0385747,The committee asked what the banker promoted after the meeting sold a mortgage<extra_id_0> ,with
10,1.7191117,The committee asked what the banker promoted after the meeting sold a mortgage with<extra_id_0> ,faulty
11,3.899011,The committee asked what the banker promoted after the meeting sold a mortgage with faulty<extra_id_0> ,credit
12,4.9930315,The first mate said what the sailor killed after the departure hauled a line<extra_id_0> ,with
13,6.03101,The first mate said what the sailor killed after the departure hauled a line with<extra_id_0> ,all
14,3.2892478,The first mate said what the sailor killed after the departure hauled a line with all<extra_id_0> ,his
15,8.06483,The first mate said what the sailor killed after the departure hauled a line with all his<extra_id_0> ,might
16,5.1342864,The newspaper said what the soccer player injured before the game scored a goal<extra_id_0> ,during
17,0.4336613,The newspaper said what the soccer player injured before the game scored a goal during<extra_id_0> ,the
18,6.4010353,The newspaper said what the soccer player injured before the game scored a goal during the<extra_id_0> ,championship
19,3.4529831,The husband saw what the maid fired after the recession broke a vase<extra_id_0> ,in
20,1.0791728,The husband saw what the maid fired after the recession broke a vase in<extra_id_0> ,the
21,7.454749,The husband saw what the maid fired after the recession broke a vase in the<extra_id_0> ,hallway
22,5.8221636,The administrator discovered what the students taught before the pandemic wrote about philosophy<extra_id_0> ,for
23,5.2198353,The administrator discovered what the students taught before the pandemic wrote about philosophy for<extra_id_0> ,their
24,7.625791,The administrator discovered what the students taught before the pandemic wrote about philosophy for their<extra_id_0> ,term
25,4.6841435,The administrator discovered what the students taught before the pandemic wrote about philosophy for their term<extra_id_0> ,paper
26,1.7550015,My mother recalled what the fireman honored after the flood rescued her cat<extra_id_0> ,from
27,1.3089724,My mother recalled what the fireman honored after the flood rescued her cat from<extra_id_0> ,the
28,5.3115954,My mother recalled what the fireman honored after the flood rescued her cat from the<extra_id_0> ,burning
29,2.4599755,My mother recalled what the fireman honored after the flood rescued her cat from the burning<extra_id_0> ,building
30,5.654139,Our friend said what the customer served after the campaign bought the new car<extra_id_0> ,on
31,6.8864417,Our friend said what the customer served after the campaign bought the new car on<extra_id_0> ,credit
32,5.554556,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve<extra_id_0> ,before
33,1.6033921,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve before<extra_id_0> ,the
34,5.056891,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve before the<extra_id_0> ,match
35,5.9679346,Your father noticed what the author recognized after the event signed a copy of his book<extra_id_0> ,after
36,1.2381185,Your father noticed what the author recognized after the event signed a copy of his book after<extra_id_0> ,the
37,5.629855,Your father noticed what the author recognized after the event signed a copy of his book after the<extra_id_0> ,reading
38,4.9509764,The report described what the zoo keeper fired after the incident lost track of a kangaroo<extra_id_0> ,at
39,0.5901208,The report described what the zoo keeper fired after the incident lost track of a kangaroo at<extra_id_0> ,the
40,2.5523133,The report described what the zoo keeper fired after the incident lost track of a kangaroo at the<extra_id_0> ,zoo
41,5.8942895,The reporter said what the citizens protected after the war talked about a new bill<extra_id_0> ,at
42,0.89717716,The reporter said what the citizens protected after the war talked about a new bill at<extra_id_0> ,the
43,5.98205,The reporter said what the citizens protected after the war talked about a new bill at the<extra_id_0> ,town
44,2.4623287,The reporter said what the citizens protected after the war talked about a new bill at the town<extra_id_0> ,hall
45,4.4445806,The reporter said what the citizens protected after the war talked about a new bill at the town hall<extra_id_0> ,meeting
46,4.2356873,The assistant realized what the nurse tested before the surgery comforted the patient<extra_id_0> ,in
47,1.1842661,The assistant realized what the nurse tested before the surgery comforted the patient in<extra_id_0> ,the
48,5.8276973,The assistant realized what the nurse tested before the surgery comforted the patient in the<extra_id_0> ,waiting
49,0.08513297,The assistant realized what the nurse tested before the surgery comforted the patient in the waiting<extra_id_0> ,room
50,3.2210722,Your friend said what the librarian paid after the demonstration placed the book<extra_id_0> ,on
51,0.8238982,Your friend said what the librarian paid after the demonstration placed the book on<extra_id_0> ,the
52,7.443148,Your friend said what the librarian paid after the demonstration placed the book on the<extra_id_0> ,wrong
53,3.6753128,Your friend said what the librarian paid after the demonstration placed the book on the wrong<extra_id_0> ,shelf
54,9.048598,The witness realized what the lawyers hired after the probation shredded documents<extra_id_0> ,late
55,4.23582,The witness realized what the lawyers hired after the probation shredded documents late<extra_id_0> ,at
56,1.7231153,The witness realized what the lawyers hired after the probation shredded documents late at<extra_id_0> ,night
57,5.3988285,The article said what the chef praised before the night shift prepared the soup<extra_id_0> ,before
58,1.6456833,The article said what the chef praised before the night shift prepared the soup before<extra_id_0> ,the
59,3.8398373,The article said what the chef praised before the night shift prepared the soup before the<extra_id_0> ,dinner
60,7.460392,The article said what the chef praised before the night shift prepared the soup before the dinner<extra_id_0> ,rush
61,6.309861,The insurance company concluded what the taxi driver interviewed after the accident hit the deer<extra_id_0> ,while
62,1.8350273,The insurance company concluded what the taxi driver interviewed after the accident hit the deer while<extra_id_0> ,driving
63,11.657049,The insurance company concluded what the taxi driver interviewed after the accident hit the deer while driving<extra_id_0> ,casually
64,6.847718,The museum director realized what the burglar caught after the chase stole the painting<extra_id_0> ,last
65,3.0126085,The museum director realized what the burglar caught after the chase stole the painting last<extra_id_0> ,night
66,7.692208,The teacher realized what the student accepted before Christmas studied for<extra_id_0> ,with
67,6.024522,The teacher realized what the student accepted before Christmas studied for with<extra_id_0> ,great
68,2.9053578,The teacher realized what the student accepted before Christmas studied for with great<extra_id_0> ,enthusiasm
69,2.977458,The policeman discovered what the convict captured after investigation smuggled<extra_id_0> ,into
70,0.89620715,The policeman discovered what the convict captured after investigation smuggled into<extra_id_0> ,the
71,2.8199654,The policeman discovered what the convict captured after investigation smuggled into the<extra_id_0> ,prison
72,8.789964,The shop owner realized what the waiter hired before curfew placed<extra_id_0> ,near
73,0.8212452,The shop owner realized what the waiter hired before curfew placed near<extra_id_0> ,the
74,4.746161,The shop owner realized what the waiter hired before curfew placed near the<extra_id_0> ,table
75,7.126457,The committee asked what the banker promoted after the meeting sold<extra_id_0> ,with
76,2.0172122,The committee asked what the banker promoted after the meeting sold with<extra_id_0> ,faulty
77,4.5007668,The committee asked what the banker promoted after the meeting sold with faulty<extra_id_0> ,credit
78,5.427233,The first mate said what the sailor killed after the departure hauled<extra_id_0> ,with
79,5.546382,The first mate said what the sailor killed after the departure hauled with<extra_id_0> ,all
80,3.0646462,The first mate said what the sailor killed after the departure hauled with all<extra_id_0> ,his
81,7.9932723,The first mate said what the sailor killed after the departure hauled with all his<extra_id_0> ,might
82,6.981338,The newspaper said what the soccer player injured before the game scored<extra_id_0> ,during
83,0.6232692,The newspaper said what the soccer player injured before the game scored during<extra_id_0> ,the
84,5.939681,The newspaper said what the soccer player injured before the game scored during the<extra_id_0> ,championship
85,2.4974327,The husband saw what the maid fired after the recession broke<extra_id_0> ,in
86,2.2675426,The husband saw what the maid fired after the recession broke in<extra_id_0> ,the
87,9.607973,The husband saw what the maid fired after the recession broke in the<extra_id_0> ,hallway
88,6.8685975,The administrator discovered what the students taught before the pandemic wrote about<extra_id_0> ,for
89,4.4333754,The administrator discovered what the students taught before the pandemic wrote about for<extra_id_0> ,their
90,7.92338,The administrator discovered what the students taught before the pandemic wrote about for their<extra_id_0> ,term
91,4.3175025,The administrator discovered what the students taught before the pandemic wrote about for their term<extra_id_0> ,paper
92,4.8226523,My mother recalled what the fireman honored after the flood rescued<extra_id_0> ,from
93,1.0550607,My mother recalled what the fireman honored after the flood rescued from<extra_id_0> ,the
94,6.53233,My mother recalled what the fireman honored after the flood rescued from the<extra_id_0> ,burning
95,4.4850984,My mother recalled what the fireman honored after the flood rescued from the burning<extra_id_0> ,building
96,5.7005105,Our friend said what the customer served after the campaign bought<extra_id_0> ,on
97,6.982116,Our friend said what the customer served after the campaign bought on<extra_id_0> ,credit
98,4.266713,The memoir recounted what the tennis player trained before the Olympics was thinking about<extra_id_0> ,before
99,1.9241831,The memoir recounted what the tennis player trained before the Olympics was thinking about before<extra_id_0> ,the
