,prefix,continuation,surprisals
0,I know that my brother said that our aunt devoured the cake, at,4.729558945
1,I know that my brother said that our aunt devoured the cake at, the,0.650445461
2,I know that my brother said that our aunt devoured the cake at the, party,7.030451298
3,My neighbor told me that the fireman believes that the dog caught the cat, in,3.556396008
4,My neighbor told me that the fireman believes that the dog caught the cat in, the,0.880869269
5,My neighbor told me that the fireman believes that the dog caught the cat in the, garage,8.535427094
6,I know that our assistant believes that the committee delivered the report, by,6.25980711
7,I know that our assistant believes that the committee delivered the report by, the,0.846625805
8,I know that our assistant believes that the committee delivered the report by the, deadline,11.51257801
9,You remember that I discovered that the water ruined the new carpet, during,8.55743885
10,You remember that I discovered that the water ruined the new carpet during, the,0.575212955
11,You remember that I discovered that the water ruined the new carpet during the, flood,9.190114975
12,She told me that the teacher suspects that the star student stole answers to the test, last,6.990787983
13,She told me that the teacher suspects that the star student stole answers to the test last, semester,10.77817345
14,She knows that the expert can tell that the collector forged the painting, with,5.851583481
15,She knows that the expert can tell that the collector forged the painting with, the,0.754940391
16,She knows that the expert can tell that the collector forged the painting with the, help,10.41596508
17,She knows that the expert can tell that the collector forged the painting with the help, of,1.880301714
18,She knows that the expert can tell that the collector forged the painting with the help of, modern,8.9337883
19,She knows that the expert can tell that the collector forged the painting with the help of modern, technology,4.562280655
20,We all remember that the politician said that the convict smuggled a gun, into,6.150251865
21,We all remember that the politician said that the convict smuggled a gun into, the,0.639370561
22,We all remember that the politician said that the convict smuggled a gun into the, prison,6.62066555
23,My friend reported that the banker predicts that the company will sell multiple assets, next,10.23689461
24,My friend reported that the banker predicts that the company will sell multiple assets next, quarter,10.89700127
27,She can guess that our friend predicts that the movie star will be awarded an oscar, for,4.356790066
28,She can guess that our friend predicts that the movie star will be awarded an oscar for, her,4.746907234
29,She can guess that our friend predicts that the movie star will be awarded an oscar for her, hard,8.015889168
30,She can guess that our friend predicts that the movie star will be awarded an oscar for her hard, work,4.601481915
31,The newspaper reported that the police know that the suspect killed the witness, in,2.919850111
32,The newspaper reported that the police know that the suspect killed the witness in, the,0.698779702
33,The newspaper reported that the police know that the suspect killed the witness in the, middle,8.893660545
34,The newspaper reported that the police know that the suspect killed the witness in the middle, of,2.565147877
35,The newspaper reported that the police know that the suspect killed the witness in the middle of, the,0.923992634
36,The newspaper reported that the police know that the suspect killed the witness in the middle of the, night,7.175248146
37,We recall that the old lady heard that the hot tea warmed the young girl, after,8.345558167
38,We recall that the old lady heard that the hot tea warmed the young girl after, the,0.867581129
39,We recall that the old lady heard that the hot tea warmed the young girl after the, shocking,7.97847271
40,We recall that the old lady heard that the hot tea warmed the young girl after the shocking, incident,9.283207893
41,I remember that the doctor decided that the nurse should administer the new medicine, to,2.964613914
42,I remember that the doctor decided that the nurse should administer the new medicine to, the,0.726417422
43,I remember that the doctor decided that the nurse should administer the new medicine to the, sick,6.59664917
44,I remember that the doctor decided that the nurse should administer the new medicine to the sick, patient,7.171192646
45,Our friend guessed that my friend discovered that the gossip column revealed family secrets, to,3.654595375
46,Our friend guessed that my friend discovered that the gossip column revealed family secrets to, the,0.643068135
47,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the, whole,8.773783684
48,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole, town,9.209653854
49,The mayor told me that the town clerk heard that the town repaired the parking lot, over,7.799283504
50,The mayor told me that the town clerk heard that the town repaired the parking lot over, the,0.463461608
51,The mayor told me that the town clerk heard that the town repaired the parking lot over the, summer,9.229831696
56,The newspaper said that the bureaucrat discovered that the manager followed company regulations, during,7.551831245
57,The newspaper said that the bureaucrat discovered that the manager followed company regulations during, the,0.572195649
58,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the, financial,8.344637871
59,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial, crisis,9.123844147
60,Our neighbor said that the professor intuits that the student despised the assigned materials, last,7.101097107
61,Our neighbor said that the professor intuits that the student despised the assigned materials last, semester,10.81850433
62,My friend told me that the consultant assumes that the university hired a new administrator, last,7.767760754
63,My friend told me that the consultant assumes that the university hired a new administrator last, week,7.190095901
64,She can not believe that I forgot that my good friend married my cousin, last,7.096435547
65,She can not believe that I forgot that my good friend married my cousin last, winter,9.016363144
66,Our neighbor reminded us that she remembers that the tow truck hauled the wagon, out,6.259301186
67,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out, of,3.230444908
68,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of, the,0.829921484
69,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of the, ditch,13.40914536
70,The shop owner told me that the baker forgot that the restaurant prepared a new recipe, earlier,9.683840752
71,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier, that,2.016241789
72,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier that, week,10.25550652
73,My sister told me that our mother remembers that the newspaper published a scandalous story, last,7.976603508
74,My sister told me that our mother remembers that the newspaper published a scandalous story last, month,5.560750961
75,We remember that the judge decided that the lawyer must shred the evidence, before,7.184382439
76,We remember that the judge decided that the lawyer must shred the evidence before, the,0.690801859
77,We remember that the judge decided that the lawyer must shred the evidence before the, trial,7.494940281
78,I know that my brother said that our aunt devoured, at,6.311635494
79,I know that my brother said that our aunt devoured at, the,0.64374882
80,I know that my brother said that our aunt devoured at the, party,7.259242058
81,My neighbor told me that the fireman believes that the dog caught, in,4.09116745
82,My neighbor told me that the fireman believes that the dog caught in, the,0.836527824
83,My neighbor told me that the fireman believes that the dog caught in the, garage,8.527878761
84,I know that our assistant believes that the committee delivered, by,6.775957584
85,I know that our assistant believes that the committee delivered by, the,0.860446215
86,I know that our assistant believes that the committee delivered by the, deadline,11.14460182
87,You remember that I discovered that the water ruined, during,9.016122818
88,You remember that I discovered that the water ruined during, the,0.561099887
89,You remember that I discovered that the water ruined during the, flood,8.99825573
90,She told me that the teacher suspects that the star student stole, last,7.648360252
91,She told me that the teacher suspects that the star student stole last, semester,10.98115253
92,She knows that the expert can tell that the collector forged, with,7.022312164
93,She knows that the expert can tell that the collector forged with, the,0.756497145
94,She knows that the expert can tell that the collector forged with the, help,10.14488316
95,She knows that the expert can tell that the collector forged with the help, of,2.239031792
96,She knows that the expert can tell that the collector forged with the help of, modern,9.154303551
97,She knows that the expert can tell that the collector forged with the help of modern, technology,4.17410183
98,We all remember that the politician said that the convict smuggled, into,4.622951984
99,We all remember that the politician said that the convict smuggled into, the,0.655817628
100,We all remember that the politician said that the convict smuggled into the, prison,6.643106461
101,My friend reported that the banker predicts that the company will sell, next,10.39994812
102,My friend reported that the banker predicts that the company will sell next, quarter,10.5489769
105,She can guess that our friend predicts that the movie star will be awarded, for,5.692083359
106,She can guess that our friend predicts that the movie star will be awarded for, her,4.880114555
107,She can guess that our friend predicts that the movie star will be awarded for her, hard,7.981775761
108,She can guess that our friend predicts that the movie star will be awarded for her hard, work,4.3229146
109,The newspaper reported that the police know that the suspect killed, in,4.623123169
110,The newspaper reported that the police know that the suspect killed in, the,0.778542042
111,The newspaper reported that the police know that the suspect killed in the, middle,8.914797783
112,The newspaper reported that the police know that the suspect killed in the middle, of,2.627533197
113,The newspaper reported that the police know that the suspect killed in the middle of, the,0.973193169
114,The newspaper reported that the police know that the suspect killed in the middle of the, night,7.231453896
115,We recall that the old lady heard that the hot tea warmed, after,7.388195992
116,We recall that the old lady heard that the hot tea warmed after, the,0.737286687
117,We recall that the old lady heard that the hot tea warmed after the, shocking,8.123155594
118,We recall that the old lady heard that the hot tea warmed after the shocking, incident,9.128284454
119,I remember that the doctor decided that the nurse should administer, to,2.975101709
120,I remember that the doctor decided that the nurse should administer to, the,0.73612231
121,I remember that the doctor decided that the nurse should administer to the, sick,6.644430637
122,I remember that the doctor decided that the nurse should administer to the sick, patient,7.507762432
123,Our friend guessed that my friend discovered that the gossip column revealed, to,4.854415894
124,Our friend guessed that my friend discovered that the gossip column revealed to, the,0.771799922
125,Our friend guessed that my friend discovered that the gossip column revealed to the, whole,8.665307999
126,Our friend guessed that my friend discovered that the gossip column revealed to the whole, town,9.288183212
127,The mayor told me that the town clerk heard that the town repaired, over,8.270672798
128,The mayor told me that the town clerk heard that the town repaired over, the,0.445380807
129,The mayor told me that the town clerk heard that the town repaired over the, summer,9.202507019
134,The newspaper said that the bureaucrat discovered that the manager followed, during,8.896888733
135,The newspaper said that the bureaucrat discovered that the manager followed during, the,0.654881895
136,The newspaper said that the bureaucrat discovered that the manager followed during the, financial,8.486644745
137,The newspaper said that the bureaucrat discovered that the manager followed during the financial, crisis,9.006227493
138,Our neighbor said that the professor intuits that the student despised, last,8.496893883
139,Our neighbor said that the professor intuits that the student despised last, semester,11.01824284
140,My friend told me that the consultant assumes that the university hired, last,8.046919823
141,My friend told me that the consultant assumes that the university hired last, week,7.40538311
142,She can not believe that I forgot that my good friend married, last,7.358873367
143,She can not believe that I forgot that my good friend married last, winter,8.922955513
144,Our neighbor reminded us that she remembers that the tow truck hauled, out,5.373715878
145,Our neighbor reminded us that she remembers that the tow truck hauled out, of,4.127387047
146,Our neighbor reminded us that she remembers that the tow truck hauled out of, the,0.842982173
147,Our neighbor reminded us that she remembers that the tow truck hauled out of the, ditch,13.48690891
148,The shop owner told me that the baker forgot that the restaurant prepared, earlier,9.640525818
149,The shop owner told me that the baker forgot that the restaurant prepared earlier, that,1.29728663
150,The shop owner told me that the baker forgot that the restaurant prepared earlier that, week,10.28413105
151,My sister told me that our mother remembers that the newspaper published, last,6.315808296
152,My sister told me that our mother remembers that the newspaper published last, month,6.141836643
153,We remember that the judge decided that the lawyer must shred, before,9.564700127
154,We remember that the judge decided that the lawyer must shred before, the,0.621468186
155,We remember that the judge decided that the lawyer must shred before the, trial,7.337387085
156,I know that my brother said whether our aunt devoured the cake, at,4.725050926
157,I know that my brother said whether our aunt devoured the cake at, the,0.665250242
158,I know that my brother said whether our aunt devoured the cake at the, party,7.039298058
159,My neighbor told me that the fireman believes whether the dog caught the cat, in,3.530495644
160,My neighbor told me that the fireman believes whether the dog caught the cat in, the,0.880124867
161,My neighbor told me that the fireman believes whether the dog caught the cat in the, garage,8.613972664
162,I know that our assistant believes whether the committee delivered the report, by,6.22796011
163,I know that our assistant believes whether the committee delivered the report by, the,0.849148512
164,I know that our assistant believes whether the committee delivered the report by the, deadline,11.45759487
165,You remember that I discovered whether the water ruined the new carpet, during,8.530565262
166,You remember that I discovered whether the water ruined the new carpet during, the,0.572791934
167,You remember that I discovered whether the water ruined the new carpet during the, flood,9.247763634
168,She told me that the teacher suspects whether the star student stole answers to the test, last,7.000685692
169,She told me that the teacher suspects whether the star student stole answers to the test last, semester,10.80947399
170,She knows that the expert can tell whether the collector forged the painting, with,5.884671211
171,She knows that the expert can tell whether the collector forged the painting with, the,0.751474619
172,She knows that the expert can tell whether the collector forged the painting with the, help,10.43318462
173,She knows that the expert can tell whether the collector forged the painting with the help, of,1.930292368
174,She knows that the expert can tell whether the collector forged the painting with the help of, modern,8.939570427
175,She knows that the expert can tell whether the collector forged the painting with the help of modern, technology,4.581954956
176,We all remember that the politician said whether the convict smuggled a gun, into,6.12348938
177,We all remember that the politician said whether the convict smuggled a gun into, the,0.653168321
178,We all remember that the politician said whether the convict smuggled a gun into the, prison,6.622112274
179,My friend reported that the banker predicts whether the company will sell multiple assets, next,10.19846153
180,My friend reported that the banker predicts whether the company will sell multiple assets next, quarter,10.91806412
183,She can guess that our friend predicts whether the movie star will be awarded an oscar, for,4.38063097
184,She can guess that our friend predicts whether the movie star will be awarded an oscar for, her,4.748144627
185,She can guess that our friend predicts whether the movie star will be awarded an oscar for her, hard,8.008700371
186,She can guess that our friend predicts whether the movie star will be awarded an oscar for her hard, work,4.608044624
187,The newspaper reported that the police know whether the suspect killed the witness, in,2.903520107
188,The newspaper reported that the police know whether the suspect killed the witness in, the,0.701699317
189,The newspaper reported that the police know whether the suspect killed the witness in the, middle,8.92579937
190,The newspaper reported that the police know whether the suspect killed the witness in the middle, of,2.5033741
191,The newspaper reported that the police know whether the suspect killed the witness in the middle of, the,0.929044902
192,The newspaper reported that the police know whether the suspect killed the witness in the middle of the, night,7.169397354
193,We recall that the old lady heard whether the hot tea warmed the young girl, after,8.356870651
194,We recall that the old lady heard whether the hot tea warmed the young girl after, the,0.859182119
195,We recall that the old lady heard whether the hot tea warmed the young girl after the, shocking,7.905608654
196,We recall that the old lady heard whether the hot tea warmed the young girl after the shocking, incident,9.203432083
197,I remember that the doctor decided whether the nurse should administer the new medicine, to,3.049777269
198,I remember that the doctor decided whether the nurse should administer the new medicine to, the,0.738940775
199,I remember that the doctor decided whether the nurse should administer the new medicine to the, sick,6.656196117
