,surprisals,prefix,continuation
0,7.6062193,I know that an indication of depression caused us to recommend therapy<extra_id_0> ,last
1,4.1934905,I know that an indication of depression caused us to recommend therapy last<extra_id_0> ,night
2,4.8242855,I remember that the gift for Mary cost a lot of money<extra_id_0> ,at
3,0.8530491,I remember that the gift for Mary cost a lot of money at<extra_id_0> ,the
4,6.478764,I remember that the gift for Mary cost a lot of money at the<extra_id_0> ,last
5,1.227327,I remember that the gift for Mary cost a lot of money at the last<extra_id_0> ,minute
6,2.4022408,The newspaper reported that the novel by the famous author received favorable reviews<extra_id_0> ,in
7,0.63926303,The newspaper reported that the novel by the famous author received favorable reviews in<extra_id_0> ,the
8,3.2814713,The newspaper reported that the novel by the famous author received favorable reviews in the<extra_id_0> ,press
9,8.354136,I know that the painting by Monet fetched a high price at auction<extra_id_0> ,sometime
10,3.5892198,I know that the painting by Monet fetched a high price at auction sometime<extra_id_0> ,last
11,0.42133155,I know that the painting by Monet fetched a high price at auction sometime last<extra_id_0> ,year
12,9.412425,You remember that the instructions for the submarine fell into the furnace<extra_id_0> ,much
13,3.8337498,You remember that the instructions for the submarine fell into the furnace much<extra_id_0> ,to
14,2.6470864,You remember that the instructions for the submarine fell into the furnace much to<extra_id_0> ,our
15,3.8472683,You remember that the instructions for the submarine fell into the furnace much to our<extra_id_0> ,regret
16,8.024775,She told me that an allergy to peanuts causes him to avoid dining out<extra_id_0> ,ever
17,0.83002204,She told me that an allergy to peanuts causes him to avoid dining out ever<extra_id_0> ,since
18,2.2771218,She told me that an allergy to peanuts causes him to avoid dining out ever since<extra_id_0> ,he
19,1.10722,She told me that an allergy to peanuts causes him to avoid dining out ever since he<extra_id_0> ,was
20,4.4046273,She told me that an allergy to peanuts causes him to avoid dining out ever since he was<extra_id_0> ,young
21,3.5717893,She knows that the delivery for Sarah arrived around noon<extra_id_0> ,last
22,3.2890506,She knows that the delivery for Sarah arrived around noon last<extra_id_0> ,Tuesday
23,3.628917,We all remember that the package for Robert got lost in the mail<extra_id_0> ,in
24,1.521435,We all remember that the package for Robert got lost in the mail in<extra_id_0> ,the
25,7.6217337,We all remember that the package for Robert got lost in the mail in the<extra_id_0> ,holiday
26,5.1855574,We all remember that the package for Robert got lost in the mail in the holiday<extra_id_0> ,rush
27,7.1523943,My friend reported that the symphony by Mozart moved my mother to tears<extra_id_0> ,yesterday
28,3.364784,My friend reported that the symphony by Mozart moved my mother to tears yesterday<extra_id_0> ,night
29,6.092757,I have an idea about that the play by the amateur comedian upset me<extra_id_0> ,last
30,1.0833554,I have an idea about that the play by the amateur comedian upset me last<extra_id_0> ,night
31,7.481354,She can guess that a forward for the new manuscript claimed that Elvis is still alive<extra_id_0> ,over
32,1.2047925,She can guess that a forward for the new manuscript claimed that Elvis is still alive over<extra_id_0> ,the
33,4.2120047,She can guess that a forward for the new manuscript claimed that Elvis is still alive over the<extra_id_0> ,weekend
34,10.521369,The newspaper reported that a mix of oil and vinegar was used for the salad dressing<extra_id_0> ,every
35,2.3749735,The newspaper reported that a mix of oil and vinegar was used for the salad dressing every<extra_id_0> ,time
36,3.5245986,The newspaper reported that a mix of oil and vinegar was used for the salad dressing every time<extra_id_0> ,she
37,4.3026175,The newspaper reported that a mix of oil and vinegar was used for the salad dressing every time she<extra_id_0> ,cooked
38,8.7311325,We recall that a critique of the fossil fuel industry found support online<extra_id_0> ,late
39,3.026309,We recall that a critique of the fossil fuel industry found support online late<extra_id_0> ,in
40,1.2153084,We recall that a critique of the fossil fuel industry found support online late in<extra_id_0> ,the
41,4.3762045,We recall that a critique of the fossil fuel industry found support online late in the<extra_id_0> ,afternoon
42,4.4520435,I remember that a diatribe against the mayor was published in the local newspaper<extra_id_0> ,yesterday
43,4.0006094,I remember that a diatribe against the mayor was published in the local newspaper yesterday<extra_id_0> ,night
44,5.7082973,Our friend guessed that a picture of the convict appeared in the newspaper<extra_id_0> ,yesterday
45,5.5181394,Our friend guessed that a picture of the convict appeared in the newspaper yesterday<extra_id_0> ,afternoon
46,7.0443053,The mayor told me that a photograph of the general was taken by the war correspondent<extra_id_0> ,two
47,1.5705898,The mayor told me that a photograph of the general was taken by the war correspondent two<extra_id_0> ,days
48,1.5428472,The mayor told me that a photograph of the general was taken by the war correspondent two days<extra_id_0> ,after
49,0.7827066,The mayor told me that a photograph of the general was taken by the war correspondent two days after<extra_id_0> ,the
50,4.037924,The mayor told me that a photograph of the general was taken by the war correspondent two days after the<extra_id_0> ,battle
51,6.892491,My friend remembers that a description of abbey life was disliked by the bishop<extra_id_0> ,over
52,2.0018783,My friend remembers that a description of abbey life was disliked by the bishop over<extra_id_0> ,a
53,2.8557193,My friend remembers that a description of abbey life was disliked by the bishop over a<extra_id_0> ,year
54,0.42685074,My friend remembers that a description of abbey life was disliked by the bishop over a year<extra_id_0> ,ago
