,surprisals,prefix,continuation
0,8.392422,I know that your tears signaled an indication of depression<extra_id_0> ,last
1,1.3219159,I know that your tears signaled an indication of depression last<extra_id_0> ,night
2,5.3785458,I remember that we all pitched in to buy the gift for Mary<extra_id_0> ,at
3,1.1952684,I remember that we all pitched in to buy the gift for Mary at<extra_id_0> ,the
4,5.2191873,I remember that we all pitched in to buy the gift for Mary at the<extra_id_0> ,last
5,2.8998127,I remember that we all pitched in to buy the gift for Mary at the last<extra_id_0> ,minute
6,4.250279,The newspaper reported that the critics reviewed the novel by the famous author<extra_id_0> ,in
7,1.3780764,The newspaper reported that the critics reviewed the novel by the famous author in<extra_id_0> ,the
8,4.734966,The newspaper reported that the critics reviewed the novel by the famous author in the<extra_id_0> ,press
9,9.386911,I know that the family bought the painting by Monet<extra_id_0> ,sometime
10,5.6225896,I know that the family bought the painting by Monet sometime<extra_id_0> ,last
11,0.48559582,I know that the family bought the painting by Monet sometime last<extra_id_0> ,year
12,9.723006,You remember that the spy sold the instructions for the submarine<extra_id_0> ,much
13,2.67197,You remember that the spy sold the instructions for the submarine much<extra_id_0> ,to
14,4.4437838,You remember that the spy sold the instructions for the submarine much to<extra_id_0> ,our
15,4.5049157,You remember that the spy sold the instructions for the submarine much to our<extra_id_0> ,regret
16,5.515126,She told me that he has had an allergy to peanuts<extra_id_0> ,ever
17,0.02040208,She told me that he has had an allergy to peanuts ever<extra_id_0> ,since
18,1.9231559,She told me that he has had an allergy to peanuts ever since<extra_id_0> ,he
19,0.53372866,She told me that he has had an allergy to peanuts ever since he<extra_id_0> ,was
20,4.597051,She told me that he has had an allergy to peanuts ever since he was<extra_id_0> ,young
21,6.9674525,She knows that the doorman accepted the delivery for Sarah<extra_id_0> ,last
22,4.1366777,She knows that the doorman accepted the delivery for Sarah last<extra_id_0> ,Tuesday
23,4.9340425,We all remember that the mailman lost the package for Robert<extra_id_0> ,in
24,1.4612169,We all remember that the mailman lost the package for Robert in<extra_id_0> ,the
25,7.9176393,We all remember that the mailman lost the package for Robert in the<extra_id_0> ,holiday
26,4.707247,We all remember that the mailman lost the package for Robert in the holiday<extra_id_0> ,rush
27,5.2779474,My friend reported that we listened to the symphony by Mozart<extra_id_0> ,yesterday
28,3.7399287,My friend reported that we listened to the symphony by Mozart yesterday<extra_id_0> ,night
29,7.1591067,I have an idea about that I saw the play by the amateur comedian<extra_id_0> ,last
30,1.0751126,I have an idea about that I saw the play by the amateur comedian last<extra_id_0> ,night
31,8.369945,She can guess that my friend wrote a forward for the new manuscript<extra_id_0> ,over
32,1.5434043,She can guess that my friend wrote a forward for the new manuscript over<extra_id_0> ,the
33,2.2594686,She can guess that my friend wrote a forward for the new manuscript over the<extra_id_0> ,weekend
34,11.110283,The newspaper reported that she made the salad dressing from a mix of oil and vinegar<extra_id_0> ,every
35,3.3534234,The newspaper reported that she made the salad dressing from a mix of oil and vinegar every<extra_id_0> ,time
36,0.33629733,The newspaper reported that she made the salad dressing from a mix of oil and vinegar every time<extra_id_0> ,she
37,3.1339576,The newspaper reported that she made the salad dressing from a mix of oil and vinegar every time she<extra_id_0> ,cooked
